Time	CAG	GRAV	RES
57119.95232	573.32897	-0.65781	-17.7154
57119.95427	584.58556	-0.65102	-0.35746
57119.95623	568.56628	-0.64438	-10.4123
57119.95827	573.73719	-0.63748	0.9534
57119.96036	542.5382	-0.63054	-24.01012
57119.96231	564.93026	-0.62396	4.29
57119.96428	529.5517	-0.61798	-25.71764
57119.96631	572.87366	-0.61049	24.33711
57119.9684	543.20548	-0.60365	0.81063
57119.97036	539.22146	-0.59678	3.00066
57119.97232	529.90994	-0.59074	-0.88578
57119.97435	489.72125	-0.58481	-35.74796
57119.97643	496.80215	-0.57803	-22.5811
57119.97838	508.96986	-0.57116	-4.23578
57119.98034	493.58401	-0.56503	-14.12263
57119.98237	500.88855	-0.55924	-1.61533
57119.98445	500.43308	-0.55258	3.91346
57119.9864	498.45944	-0.54646	7.43309
57119.98836	469.22046	-0.54069	-16.61975
57119.9904	481.50715	-0.53526	0.5444
57119.99249	453.18429	-0.5289	-22.06545
57119.99444	467.31273	-0.52317	-2.79167
57119.99642	459.10858	-0.51801	-6.35978
57119.99848	473.77013	-0.51305	12.75543
57120.00057	449.176	-0.50646	-5.91417
57120.00253	426.4238	-0.50181	-24.4885
57120.00449	436.50826	-0.49735	-10.40195
57120.00654	439.06622	-0.49266	-3.6285
57120.00865	414.22031	-0.48748	-23.82541
57120.0106	427.86969	-0.48236	-5.57117
57120.01256	422.35132	-0.47822	-7.37754
57120.01458	425.56049	-0.4743	-0.64633
57120.01668	415.17594	-0.46976	-6.95221
57120.01866	418.07348	-0.46641	-1.0461
57120.02062	399.63036	-0.46199	-15.52019
57120.02266	411.61711	-0.45806	-0.00372
57120.02475	408.19959	-0.45518	-0.82785
57120.0267	369.04828	-0.45197	-37.09747
57120.02866	394.4301	-0.44915	-9.18716
57120.03069	394.12098	-0.44643	-7.04903
57120.03278	383.27104	-0.44345	-15.22224
57120.03474	386.29535	-0.44143	-10.38326
57120.03669	361.48968	-0.43937	-33.33828
57120.03873	403.26904	-0.43762	10.01335
57120.04082	378.86584	-0.43577	-12.73142
57120.04277	386.03201	-0.434	-3.97715
57120.04473	381.84338	-0.43233	-6.66033
57120.04679	360.92438	-0.43109	-26.46801
57120.04892	388.78477	-0.42985	2.50848
