Date,Open,High,Low,Close,Adj Close,Volume
2022-09-26,5744.490234,5828.049805,5736.000000,5769.390137,5769.390137,78603600
2022-09-27,5809.819824,5852.609863,5753.819824,5753.819824,5753.819824,85032200
2022-09-28,5692.540039,5773.080078,5651.490234,5765.009766,5765.009766,106668700
2022-09-29,5746.290039,5746.290039,5628.419922,5676.870117,5676.870117,102422800
2022-09-30,5712.200195,5770.779785,5688.339844,5762.339844,5762.339844,102731500
2022-10-03,5697.470215,5804.270020,5654.439941,5794.149902,5794.149902,80848100
2022-10-04,5859.450195,6039.689941,5852.919922,6039.689941,6039.689941,95391900
2022-10-05,6006.120117,6034.930176,5953.549805,5985.459961,5985.459961,75121600
2022-10-06,6004.109863,6018.470215,5917.270020,5936.419922,5936.419922,63735200
2022-10-07,5911.959961,5956.950195,5855.660156,5866.939941,5866.939941,65700300
2022-10-10,5806.569824,5883.850098,5796.310059,5840.549805,5840.549805,64916700
2022-10-11,5796.830078,5849.580078,5770.479980,5833.200195,5833.200195,66016800
2022-10-12,5842.100098,5872.490234,5788.660156,5818.470215,5818.470215,70096900
2022-10-13,5792.540039,5899.819824,5704.870117,5879.189941,5879.189941,86713000
2022-10-14,5965.799805,6044.750000,5921.149902,5931.919922,5931.919922,80215500
2022-10-17,5949.649902,6068.370117,5910.390137,6040.660156,6040.660156,63825900
2022-10-18,6098.600098,6139.779785,6057.379883,6067.000000,6067.000000,66543800
2022-10-19,6092.770020,6109.970215,6040.720215,6040.720215,6040.720215,66384700
2022-10-20,6046.810059,6103.500000,6029.529785,6086.899902,6086.899902,62634500
2022-10-21,6021.580078,6056.040039,5952.879883,6035.390137,6035.390137,72699400
2022-10-24,6076.200195,6175.620117,6041.140137,6131.359863,6131.359863,78770900
2022-10-25,6172.649902,6253.120117,6135.379883,6250.549805,6250.549805,78255100
2022-10-26,6244.640137,6282.750000,6219.330078,6276.310059,6276.310059,68833800
2022-10-27,6253.850098,6272.200195,6194.330078,6244.029785,6244.029785,85178900
2022-10-28,6192.180176,6278.770020,6183.410156,6273.049805,6273.049805,72520200
2022-10-31,6279.700195,6293.149902,6244.080078,6266.770020,6266.770020,66506100
2022-11-01,6329.759766,6383.700195,6306.049805,6328.250000,6328.250000,60553400
2022-11-02,6351.310059,6376.290039,6273.549805,6276.879883,6276.879883,68322300
2022-11-03,6209.629883,6245.689941,6191.729980,6243.279785,6243.279785,70824300
2022-11-04,6291.390137,6466.319824,6289.069824,6416.439941,6416.439941,99100700
2022-11-07,6379.490234,6442.410156,6363.700195,6416.609863,6416.609863,74724700
2022-11-08,6391.750000,6451.160156,6378.319824,6441.500000,6441.500000,63537800
2022-11-09,6426.799805,6446.500000,6405.839844,6430.569824,6430.569824,65301500
2022-11-10,6396.589844,6573.850098,6381.419922,6556.830078,6556.830078,115490300
2022-11-11,6612.930176,6636.810059,6573.870117,6594.620117,6594.620117,98336500
2022-11-14,6622.419922,6662.069824,6603.560059,6609.169922,6609.169922,78284400
2022-11-15,6626.819824,6684.089844,6621.819824,6641.660156,6641.660156,75504200
2022-11-16,6647.399902,6656.330078,6587.200195,6607.220215,6607.220215,85200600
2022-11-17,6624.470215,6634.729980,6522.279785,6576.120117,6576.120117,70512200
2022-11-18,6620.580078,6667.200195,6601.560059,6644.459961,6644.459961,83554600
2022-11-21,6625.100098,6649.759766,6613.919922,6634.450195,6634.450195,65020100
2022-11-22,6643.700195,6669.169922,6615.580078,6657.529785,6657.529785,63964600
2022-11-23,6677.970215,6681.410156,6642.029785,6679.089844,6679.089844,55283400
2022-11-24,6683.439941,6730.160156,6679.799805,6707.319824,6707.319824,53784900
2022-11-25,6710.359863,6725.000000,6686.629883,6712.479980,6712.479980,47928700
2022-11-28,6678.109863,6693.919922,6641.299805,6665.200195,6665.200195,66210300
2022-11-29,6686.959961,6695.859863,6649.879883,6668.970215,6668.970215,64658900
2022-11-30,6706.669922,6743.600098,6678.750000,6738.549805,6738.549805,137628600
2022-12-01,6784.600098,6791.310059,6730.549805,6753.970215,6753.970215,76833000
2022-12-02,6728.859863,6767.720215,6689.759766,6742.250000,6742.250000,73971700
2022-12-05,6728.709961,6738.970215,6685.520020,6696.959961,6696.959961,64996300
2022-12-06,6677.490234,6704.740234,6656.930176,6687.790039,6687.790039,68966200
2022-12-07,6687.339844,6696.649902,6642.439941,6660.589844,6660.589844,70960500
2022-12-08,6677.000000,6679.569824,6629.359863,6647.310059,6647.310059,67338600
2022-12-09,6671.779785,6680.089844,6618.270020,6677.640137,6677.640137,73547100
2022-12-12,6647.899902,6681.299805,6634.970215,6650.549805,6650.549805,62590500
2022-12-13,6672.220215,6823.100098,6642.089844,6744.979980,6744.979980,86739300
2022-12-14,6727.750000,6733.850098,6694.330078,6730.790039,6730.790039,76945400
2022-12-15,6674.290039,6680.220215,6503.000000,6522.770020,6522.770020,103759900
2022-12-16,6505.629883,6515.700195,6418.950195,6452.629883,6452.629883,156200000
2022-12-19,6470.930176,6510.459961,6470.930176,6473.290039,6473.290039,64477300
2022-12-20,6418.689941,6468.939941,6388.229980,6450.430176,6450.430176,74259100
2022-12-21,6469.109863,6586.479980,6467.569824,6580.240234,6580.240234,70962400
2022-12-22,6587.500000,6614.350098,6503.879883,6517.970215,6517.970215,56190600
2022-12-23,6513.200195,6533.580078,6476.049805,6504.899902,6504.899902,42984900
2022-12-27,6559.629883,6579.330078,6543.259766,6550.660156,6550.660156,33013100
2022-12-28,6561.500000,6572.120117,6505.669922,6510.490234,6510.490234,40109400
2022-12-29,6486.649902,6577.080078,6474.729980,6573.470215,6573.470215,41261600
2022-12-30,6533.120117,6540.509766,6470.640137,6473.759766,6473.759766,42838300
2023-01-02,6521.069824,6601.109863,6518.209961,6594.569824,6594.569824,47388200
2023-01-03,6580.089844,6696.100098,6580.089844,6623.890137,6623.890137,73986700
2023-01-04,6660.600098,6780.830078,6659.830078,6776.430176,6776.430176,94387100
2023-01-05,6744.500000,6792.089844,6732.040039,6761.500000,6761.500000,71666600
2023-01-06,6772.939941,6860.950195,6757.459961,6860.950195,6860.950195,0
2023-01-09,6861.589844,6928.430176,6851.660156,6907.359863,6907.359863,78531000
2023-01-10,6882.009766,6885.439941,6845.810059,6869.140137,6869.140137,64470300
2023-01-11,6879.100098,6946.669922,6874.709961,6924.189941,6924.189941,76436500
2023-01-12,6947.339844,7015.700195,6946.299805,6975.680176,6975.680176,82168400
2023-01-13,6989.589844,7035.819824,6977.859863,7023.500000,7023.500000,76364900
2023-01-16,7036.479980,7052.520020,7016.319824,7043.310059,7043.310059,56440600
2023-01-17,7036.910156,7104.899902,7020.819824,7077.160156,7077.160156,82336900
2023-01-18,7073.620117,7115.200195,7072.450195,7083.390137,7083.390137,68097000
2023-01-19,7047.640137,7056.140137,6946.740234,6951.870117,6951.870117,80486000
2023-01-20,6996.220215,7015.959961,6965.450195,6995.990234,6995.990234,64034900
2023-01-23,7014.910156,7044.509766,6988.509766,7032.020020,7032.020020,51105500
2023-01-24,7053.040039,7064.689941,7011.399902,7050.479980,7050.479980,57820900
2023-01-25,7057.819824,7070.839844,6999.930176,7043.879883,7043.879883,55620400
2023-01-26,7095.109863,7117.529785,7078.020020,7095.990234,7095.990234,68505600
2023-01-27,7085.470215,7117.479980,7062.689941,7097.209961,7097.209961,68167800
2023-01-30,7054.240234,7103.660156,7030.950195,7082.009766,7082.009766,60633400
2023-01-31,7075.089844,7088.970215,7025.529785,7082.419922,7082.419922,78055900
2023-02-01,7087.200195,7110.209961,7059.609863,7077.109863,7077.109863,63651600
2023-02-02,7110.029785,7184.689941,7079.410156,7166.270020,7166.270020,95949900
2023-02-03,7136.399902,7233.939941,7113.419922,7233.939941,7233.939941,89988400
2023-02-06,7181.970215,7187.270020,7104.520020,7137.100098,7137.100098,68293300
2023-02-07,7145.839844,7154.509766,7108.459961,7132.350098,7132.350098,73508000
2023-02-08,7181.580078,7190.859863,7119.830078,7119.830078,7119.830078,84748800
2023-02-09,7179.640137,7225.879883,7179.640137,7188.359863,7188.359863,81784900
2023-02-10,7165.410156,7182.919922,7074.629883,7129.729980,7129.729980,79146100
2023-02-13,7147.479980,7213.939941,7138.910156,7208.589844,7208.589844,57944800
2023-02-14,7225.299805,7271.479980,7204.509766,7213.810059,7213.810059,73276800
2023-02-15,7206.830078,7318.779785,7200.729980,7300.859863,7300.859863,75504300
2023-02-16,7346.299805,7387.290039,7325.750000,7366.160156,7366.160156,91730300
2023-02-17,7311.140137,7368.000000,7267.770020,7347.720215,7347.720215,80226800
2023-02-20,7361.209961,7363.410156,7318.729980,7335.609863,7335.609863,48622700
2023-02-21,7319.930176,7342.680176,7241.209961,7308.649902,7308.649902,68754800
2023-02-22,7282.490234,7307.819824,7231.629883,7299.259766,7299.259766,83809200
2023-02-23,7309.029785,7357.680176,7301.419922,7317.430176,7317.430176,79939200
2023-02-24,7359.759766,7366.069824,7187.270020,7187.270020,7187.270020,94517800
2023-02-27,7243.029785,7324.029785,7243.029785,7295.549805,7295.549805,69314300
2023-02-28,7253.540039,7317.979980,7249.470215,7267.930176,7267.930176,102729300
2023-03-01,7279.339844,7327.290039,7219.399902,7234.250000,7234.250000,79246600
2023-03-02,7176.410156,7286.240234,7169.660156,7284.220215,7284.220215,70461500
2023-03-03,7313.479980,7358.040039,7308.149902,7348.120117,7348.120117,0
2023-03-06,7385.750000,7401.149902,7349.979980,7373.209961,7373.209961,68683500
2023-03-07,7355.870117,7398.029785,7336.200195,7339.270020,7339.270020,64092400
2023-03-08,7305.919922,7346.620117,7305.919922,7324.759766,7324.759766,56907200
2023-03-09,7317.430176,7333.220215,7274.049805,7315.879883,7315.879883,64735900
2023-03-10,7193.370117,7256.479980,7166.890137,7220.669922,7220.669922,99781300
2023-03-13,7211.439941,7211.439941,6979.549805,7011.500000,7011.500000,141250200
2023-03-14,7029.220215,7162.569824,6989.959961,7141.569824,7141.569824,100862300
2023-03-15,7123.200195,7123.200195,6861.629883,6885.709961,6885.709961,174797900
2023-03-16,6987.629883,7063.310059,6876.609863,7025.720215,7025.720215,132832700
2023-03-17,7086.100098,7104.750000,6895.729980,6925.399902,6925.399902,203828600
2023-03-20,6900.899902,7049.759766,6796.209961,7013.140137,7013.140137,0
2023-03-21,7089.009766,7150.330078,7083.810059,7112.910156,7112.910156,94861700
2023-03-22,7105.319824,7157.729980,7080.180176,7131.120117,7131.120117,65186100
2023-03-23,7118.140137,7149.919922,7073.500000,7139.250000,7139.250000,0
